instant,dateday,season,year,month,holiday,workingday,weather,temp,atemp,hum,casual,registered,count,weekday
21,2011-01-21,Spring,2011,January,0,1,Clear,7.2775,7.89165,45.7083,75,1468,1543,Friday
22,2011-01-22,Spring,2011,January,0,0,Clear,2.4243464,3.9534800000000003,40.0,93,888,981,Saturday
23,2011-01-23,Spring,2011,January,0,0,Clear,3.9573897000000002,4.941955,43.6522,150,836,986,Sunday
24,2011-01-24,Spring,2011,January,0,1,Clear,3.9930433,5.8965,49.173899999999996,86,1330,1416,Monday
25,2011-01-25,Spring,2011,January,0,1,Cloudy,9.162598000000001,11.7263,61.695699999999995,186,1799,1985,Tuesday
26,2011-01-26,Spring,2011,January,0,1,Light Rain,8.9175,10.18,86.25,34,472,506,Wednesday
27,2011-01-27,Spring,2011,January,0,1,Clear,7.995,10.985,68.75,15,416,431,Thursday
28,2011-01-28,Spring,2011,January,0,1,Cloudy,8.342597999999999,11.165849999999999,79.30430000000001,38,1129,1167,Friday
29,2011-01-29,Spring,2011,January,0,0,Clear,8.057402,10.606300000000001,65.17389999999999,123,975,1098,Saturday
30,2011-01-30,Spring,2011,January,0,0,Clear,8.877402,12.5161,72.2174,140,956,1096,Sunday
31,2011-01-31,Spring,2011,January,0,1,Cloudy,7.414153,9.3125,60.375,42,1459,1501,Monday
32,2011-02-01,Spring,2011,February,0,1,Cloudy,7.8791340000000005,11.7265,82.9565,47,1313,1360,Tuesday
33,2011-02-02,Spring,2011,February,0,1,Cloudy,10.66,12.72085,77.5417,72,1454,1526,Wednesday
34,2011-02-03,Spring,2011,February,0,1,Clear,7.665237,8.8939,43.7826,61,1489,1550,Thursday
35,2011-02-04,Spring,2011,February,0,1,Cloudy,8.663464,11.429350000000001,58.521699999999996,88,1620,1708,Friday
36,2011-02-05,Spring,2011,February,0,0,Cloudy,9.566653,12.152899999999999,92.91669999999999,100,905,1005,Saturday
37,2011-02-06,Spring,2011,February,0,0,Clear,11.719153,14.58355,56.833299999999994,354,1269,1623,Sunday
38,2011-02-07,Spring,2011,February,0,1,Clear,11.138347,15.1829,73.83330000000001,120,1592,1712,Monday
39,2011-02-08,Spring,2011,February,0,1,Clear,9.054153,9.9123,53.7917,64,1466,1530,Tuesday
40,2011-02-09,Spring,2011,February,0,1,Cloudy,5.526102999999999,7.21415,49.4783,53,1552,1605,Wednesday
41,2011-02-10,Spring,2011,February,0,1,Clear,5.918268,7.477399999999999,43.7391,47,1491,1538,Thursday
42,2011-02-11,Spring,2011,February,0,1,Clear,7.752731000000001,10.67545,50.6364,149,1597,1746,Friday
43,2011-02-12,Spring,2011,February,0,0,Clear,9.1225,11.6477,54.4167,288,1184,1472,Saturday
44,2011-02-13,Spring,2011,February,0,0,Clear,12.977402000000001,16.20565,45.7391,397,1192,1589,Sunday
45,2011-02-14,Spring,2011,February,0,1,Clear,17.015,19.9175,37.583299999999994,208,1705,1913,Monday
46,2011-02-15,Spring,2011,February,0,1,Clear,10.909567000000001,12.7137,31.434800000000003,140,1675,1815,Tuesday
47,2011-02-16,Spring,2011,February,0,1,Clear,13.048701000000001,15.809999999999999,42.3478,218,1897,2115,Wednesday
48,2011-02-17,Spring,2011,February,0,1,Clear,17.869153,21.4329,50.5,259,2216,2475,Thursday
49,2011-02-18,Spring,2011,February,0,1,Clear,21.388347,25.599149999999998,51.6667,579,2348,2927,Friday
50,2011-02-19,Spring,2011,February,0,0,Clear,16.365847,19.5702,18.7917,532,1103,1635,Saturday
51,2011-02-20,Spring,2011,February,0,0,Clear,11.693897,13.8665,40.7826,639,1173,1812,Sunday
52,2011-02-21,Spring,2011,February,1,0,Cloudy,12.436653000000002,14.203750000000001,60.5,195,912,1107,Monday
53,2011-02-22,Spring,2011,February,0,1,Clear,7.471102,9.30165,57.7778,74,1376,1450,Tuesday
54,2011-02-23,Spring,2011,February,0,1,Clear,9.091299,12.28585,42.3043,139,1778,1917,Wednesday
55,2011-02-24,Spring,2011,February,0,1,Cloudy,12.121732000000002,14.459549999999998,69.7391,100,1707,1807,Thursday
56,2011-02-25,Spring,2011,February,0,1,Cloudy,14.938268,17.52305,71.2174,120,1341,1461,Friday
57,2011-02-26,Spring,2011,February,0,0,Clear,11.5825,14.1096,53.7917,424,1545,1969,Saturday
58,2011-02-27,Spring,2011,February,0,0,Clear,14.082598,17.55545,68.0,694,1708,2402,Sunday
59,2011-02-28,Spring,2011,February,0,1,Cloudy,16.698193,20.005899999999997,87.63640000000001,81,1365,1446,Monday
60,2011-03-01,Spring,2011,March,0,1,Clear,10.933347,13.19395,53.5,137,1714,1851,Tuesday
61,2011-03-02,Spring,2011,March,0,1,Clear,13.735000000000001,16.00355,44.9583,231,1903,2134,Wednesday
62,2011-03-03,Spring,2011,March,0,1,Clear,8.131653,10.00665,31.833299999999998,123,1562,1685,Thursday
63,2011-03-04,Spring,2011,March,0,1,Cloudy,10.728347,12.783949999999999,61.0417,214,1730,1944,Friday
64,2011-03-05,Spring,2011,March,0,0,Cloudy,15.750846999999998,18.93895,78.91669999999999,640,1437,2077,Saturday
65,2011-03-06,Spring,2011,March,0,0,Cloudy,15.437402,18.3126,94.8261,114,491,605,Sunday
66,2011-03-07,Spring,2011,March,0,1,Clear,10.731299,11.92305,55.1304,244,1628,1872,Monday
67,2011-03-08,Spring,2011,March,0,1,Clear,11.9925,15.120000000000001,42.0833,316,1817,2133,Tuesday
68,2011-03-09,Spring,2011,March,0,1,Cloudy,12.129153,14.3304,77.5417,191,1700,1891,Wednesday
69,2011-03-10,Spring,2011,March,0,1,Light Rain,15.952731,19.2834,0.0,46,577,623,Thursday
70,2011-03-11,Spring,2011,March,0,1,Cloudy,12.977402000000001,15.25,64.95649999999999,247,1730,1977,Friday
71,2011-03-12,Spring,2011,March,0,0,Clear,13.495847,16.287499999999998,59.458299999999994,724,1408,2132,Saturday
72,2011-03-13,Spring,2011,March,0,0,Clear,15.758268000000001,19.004550000000002,52.73910000000001,982,1435,2417,Sunday
73,2011-03-14,Spring,2011,March,0,1,Clear,13.333896999999999,16.6,49.695699999999995,359,1687,2046,Monday
74,2011-03-15,Spring,2011,March,0,1,Cloudy,13.013031,15.908900000000001,65.5652,289,1767,2056,Tuesday
75,2011-03-16,Spring,2011,March,0,1,Cloudy,14.973897000000001,18.3465,77.65220000000001,321,1871,2192,Wednesday
76,2011-03-17,Spring,2011,March,0,1,Clear,17.015,20.51665,60.291700000000006,424,2320,2744,Thursday
77,2011-03-18,Spring,2011,March,0,1,Clear,22.14,26.35045,52.5217,884,2355,3239,Friday
78,2011-03-19,Spring,2011,March,0,0,Clear,19.3725,23.32625,37.9167,1424,1693,3117,Saturday
79,2011-03-20,Spring,2011,March,0,0,Clear,13.6325,16.287499999999998,47.375,1047,1424,2471,Sunday
80,2011-03-21,Summer,2011,March,0,1,Cloudy,17.647835,20.48675,73.73910000000001,401,1676,2077,Monday
81,2011-03-22,Summer,2011,March,0,1,Clear,18.108347,22.0321,62.4583,460,2243,2703,Tuesday
82,2011-03-23,Summer,2011,March,0,1,Cloudy,14.225237,16.89695,83.9565,203,1918,2121,Wednesday
83,2011-03-24,Summer,2011,March,0,1,Cloudy,11.684999999999999,13.541649999999999,80.58330000000001,166,1699,1865,Thursday
84,2011-03-25,Summer,2011,March,0,1,Clear,10.830846999999999,12.8156,49.5,300,1910,2210,Friday
85,2011-03-26,Summer,2011,March,0,0,Clear,10.899153,12.87855,39.4167,981,1515,2496,Saturday
86,2011-03-27,Summer,2011,March,0,0,Cloudy,10.374763000000002,12.51695,49.3913,472,1221,1693,Sunday
87,2011-03-28,Summer,2011,March,0,1,Clear,10.838268000000001,12.878700000000002,30.2174,222,1806,2028,Monday
88,2011-03-29,Summer,2011,March,0,1,Clear,12.4025,14.6454,31.4167,317,2108,2425,Tuesday
89,2011-03-30,Summer,2011,March,0,1,Cloudy,12.299999999999999,14.8675,64.6667,168,1368,1536,Wednesday
90,2011-03-31,Summer,2011,March,0,1,Light Rain,11.001653,12.87875,91.8333,179,1506,1685,Thursday
91,2011-04-01,Summer,2011,April,0,1,Cloudy,12.299999999999999,14.172699999999999,68.625,307,1920,2227,Friday
92,2011-04-02,Summer,2011,April,0,0,Cloudy,12.915000000000001,15.78185,65.375,898,1354,2252,Saturday
93,2011-04-03,Summer,2011,April,0,0,Clear,15.511652999999999,18.93835,48.0,1651,1598,3249,Sunday
94,2011-04-04,Summer,2011,April,0,1,Clear,23.506653,27.14645,42.625,734,2381,3115,Monday
95,2011-04-05,Summer,2011,April,0,1,Cloudy,16.980847,19.9175,64.2083,167,1628,1795,Tuesday
96,2011-04-06,Summer,2011,April,0,1,Clear,16.024153,19.3804,47.0833,413,2395,2808,Wednesday
97,2011-04-07,Summer,2011,April,0,1,Clear,17.9375,21.684800000000003,60.291700000000006,571,2570,3141,Thursday
98,2011-04-08,Summer,2011,April,0,1,Cloudy,13.769153,16.223950000000002,83.625,172,1299,1471,Friday
99,2011-04-09,Summer,2011,April,0,0,Cloudy,14.0425,17.07645,87.75,879,1576,2455,Saturday
100,2011-04-10,Summer,2011,April,0,0,Cloudy,17.493347,21.33685,85.75,1188,1707,2895,Sunday
101,2011-04-11,Summer,2011,April,0,1,Cloudy,24.421732,28.260849999999998,71.6956,855,2493,3348,Monday
102,2011-04-12,Summer,2011,April,0,1,Cloudy,20.6025,24.6527,73.9167,257,1777,2034,Tuesday
103,2011-04-13,Summer,2011,April,0,1,Cloudy,16.912499999999998,20.864150000000002,81.91669999999999,209,1953,2162,Wednesday
104,2011-04-14,Summer,2011,April,0,1,Clear,19.1675,23.1371,54.041700000000006,529,2738,3267,Thursday
105,2011-04-15,Summer,2011,April,1,0,Clear,18.313347,22.09565,67.125,642,2484,3126,Friday
106,2011-04-16,Summer,2011,April,0,0,Light Rain,17.664153000000002,21.2746,88.83330000000001,121,674,795,Saturday
107,2011-04-17,Summer,2011,April,0,0,Clear,18.723347,22.2848,47.9583,1558,2186,3744,Sunday
108,2011-04-18,Summer,2011,April,0,1,Clear,21.0125,25.1573,54.25,669,2760,3429,Monday
109,2011-04-19,Summer,2011,April,0,1,Cloudy,20.739152999999998,24.4629,66.5833,409,2795,3204,Tuesday
110,2011-04-20,Summer,2011,April,0,1,Clear,24.395,28.2196,61.4167,613,3331,3944,Wednesday
111,2011-04-21,Summer,2011,April,0,1,Clear,18.825847,22.6946,40.708299999999994,745,3444,4189,Thursday
112,2011-04-22,Summer,2011,April,0,1,Cloudy,13.803347,16.0977,72.9583,177,1506,1683,Friday
113,2011-04-23,Summer,2011,April,0,0,Cloudy,18.86,22.50605,88.79169999999999,1462,2574,4036,Saturday
114,2011-04-24,Summer,2011,April,0,0,Cloudy,23.848347,27.58815,81.08330000000001,1710,2481,4191,Sunday
115,2011-04-25,Summer,2011,April,0,1,Clear,24.873347,28.725,77.6667,773,3300,4073,Monday
116,2011-04-26,Summer,2011,April,0,1,Clear,25.898346999999998,29.704150000000002,72.9167,678,3722,4400,Tuesday
117,2011-04-27,Summer,2011,April,0,1,Cloudy,25.419999999999998,28.7571,83.54169999999999,547,3325,3872,Wednesday
118,2011-04-28,Summer,2011,April,0,1,Cloudy,25.317500000000003,28.946450000000002,70.08330000000001,569,3489,4058,Thursday
119,2011-04-29,Summer,2011,April,0,1,Clear,20.91,24.87315,45.7083,878,3717,4595,Friday
120,2011-04-30,Summer,2011,April,0,0,Clear,19.3725,23.201050000000002,50.3333,1965,3347,5312,Saturday
121,2011-05-01,Summer,2011,May,0,0,Cloudy,18.518347,22.4102,76.2083,1138,2213,3351,Sunday
122,2011-05-02,Summer,2011,May,0,1,Cloudy,22.515846999999997,26.64165,73.0,847,3554,4401,Monday
123,2011-05-03,Summer,2011,May,0,1,Cloudy,25.283347,29.10395,69.7083,603,3848,4451,Tuesday
124,2011-05-04,Summer,2011,May,0,1,Cloudy,16.980847,20.2325,73.70830000000001,255,2378,2633,Wednesday
125,2011-05-05,Summer,2011,May,0,1,Clear,18.825847,22.09585,44.4167,614,3819,4433,Thursday
126,2011-05-06,Summer,2011,May,0,1,Clear,19.645847,23.70585,59.0,894,3714,4608,Friday
127,2011-05-07,Summer,2011,May,0,0,Clear,21.32,25.63105,54.125,1612,3102,4714,Saturday
128,2011-05-08,Summer,2011,May,0,0,Clear,21.661653,25.946649999999998,63.1667,1401,2932,4333,Sunday
129,2011-05-09,Summer,2011,May,0,1,Clear,21.8325,26.2623,58.875,664,3698,4362,Monday
130,2011-05-10,Summer,2011,May,0,1,Clear,21.8325,26.13605,48.9167,694,4109,4803,Tuesday
131,2011-05-11,Summer,2011,May,0,1,Clear,22.2425,26.419999999999998,63.29169999999999,550,3632,4182,Wednesday
132,2011-05-12,Summer,2011,May,0,1,Clear,21.935000000000002,26.16815,74.75,695,4169,4864,Thursday
133,2011-05-13,Summer,2011,May,0,1,Cloudy,21.0125,24.715,86.33330000000001,692,3413,4105,Friday
134,2011-05-14,Summer,2011,May,0,0,Cloudy,21.354153,25.03145,92.25,902,2507,3409,Saturday
135,2011-05-15,Summer,2011,May,0,0,Cloudy,23.0625,26.8,86.70830000000001,1582,2971,4553,Sunday
136,2011-05-16,Summer,2011,May,0,1,Clear,23.677500000000002,27.5256,78.79169999999999,773,3185,3958,Monday
137,2011-05-17,Summer,2011,May,0,1,Cloudy,23.028347,26.926450000000003,83.7917,678,3445,4123,Tuesday
138,2011-05-18,Summer,2011,May,0,1,Cloudy,22.55,26.3579,87.0,536,3319,3855,Wednesday
139,2011-05-19,Summer,2011,May,0,1,Cloudy,21.764153,25.537100000000002,82.9583,735,3840,4575,Thursday
140,2011-05-20,Summer,2011,May,0,1,Clear,22.003347,26.4521,71.9583,909,4008,4917,Friday
141,2011-05-21,Summer,2011,May,0,0,Clear,24.7025,28.59875,62.6667,2258,3547,5805,Saturday
142,2011-05-22,Summer,2011,May,0,0,Clear,24.770847,28.725,74.9583,1576,3084,4660,Sunday
143,2011-05-23,Summer,2011,May,0,1,Cloudy,25.898346999999998,29.5148,81.0,836,3438,4274,Monday
144,2011-05-24,Summer,2011,May,0,1,Cloudy,27.060000000000002,30.240650000000002,74.0833,659,3833,4492,Tuesday
145,2011-05-25,Summer,2011,May,0,1,Clear,27.094153,30.7771,69.625,740,4238,4978,Wednesday
146,2011-05-26,Summer,2011,May,0,1,Clear,29.041653,32.7344,67.75,758,3919,4677,Thursday
147,2011-05-27,Summer,2011,May,0,1,Clear,27.948347000000002,31.8504,65.375,871,3808,4679,Friday
148,2011-05-28,Summer,2011,May,0,0,Clear,26.889153,30.61895,72.9583,2001,2757,4758,Saturday
149,2011-05-29,Summer,2011,May,0,0,Clear,27.3675,30.777500000000003,81.875,2355,2433,4788,Sunday
150,2011-05-30,Summer,2011,May,1,0,Clear,30.066653000000002,33.5546,68.5,1549,2549,4098,Monday
151,2011-05-31,Summer,2011,May,0,1,Clear,31.775000000000002,36.26915,63.6667,673,3309,3982,Tuesday
152,2011-06-01,Summer,2011,June,0,1,Cloudy,31.330847000000002,36.04835,67.7083,513,3461,3974,Wednesday
153,2011-06-02,Summer,2011,June,0,1,Clear,29.314999999999998,32.1971,30.5,736,4232,4968,Thursday
154,2011-06-03,Summer,2011,June,0,1,Clear,25.419999999999998,29.356650000000002,35.4167,898,4414,5312,Friday
155,2011-06-04,Summer,2011,June,0,0,Clear,26.035,29.7348,45.625,1869,3473,5342,Saturday
156,2011-06-05,Summer,2011,June,0,0,Cloudy,26.581653000000003,30.8402,65.25,1685,3221,4906,Sunday
157,2011-06-06,Summer,2011,June,0,1,Clear,27.811653,31.0929,60.0,673,3875,4548,Monday
158,2011-06-07,Summer,2011,June,0,1,Clear,29.0075,32.7975,59.791700000000006,763,4070,4833,Tuesday
159,2011-06-08,Summer,2011,June,0,1,Clear,31.809153,36.36395,62.20830000000001,676,3725,4401,Wednesday
160,2011-06-09,Summer,2011,June,0,1,Cloudy,33.141653,37.87895,56.833299999999994,563,3352,3915,Thursday
161,2011-06-10,Summer,2011,June,0,1,Clear,30.955000000000002,35.1646,60.5,815,3771,4586,Friday
162,2011-06-11,Summer,2011,June,0,0,Clear,29.724999999999998,33.901900000000005,65.45830000000001,1729,3237,4966,Saturday
163,2011-06-12,Summer,2011,June,0,0,Clear,28.392500000000002,32.166250000000005,74.7917,1467,2993,4460,Sunday
164,2011-06-13,Summer,2011,June,0,1,Clear,26.035,30.082700000000003,49.4583,863,4157,5020,Monday
165,2011-06-14,Summer,2011,June,0,1,Clear,24.770847,29.5773,50.708299999999994,727,4164,4891,Tuesday
166,2011-06-15,Summer,2011,June,0,1,Clear,25.693347,29.3877,47.1667,769,4411,5180,Wednesday
167,2011-06-16,Summer,2011,June,0,1,Cloudy,25.761653000000003,29.767300000000002,68.8333,545,3222,3767,Thursday
168,2011-06-17,Summer,2011,June,0,1,Clear,26.615847000000002,30.01915,73.5833,863,3981,4844,Friday
169,2011-06-18,Summer,2011,June,0,0,Clear,28.563347,32.197700000000005,67.0417,1807,3312,5119,Saturday
170,2011-06-19,Summer,2011,June,0,0,Cloudy,28.665847,32.292300000000004,66.6667,1639,3105,4744,Sunday
171,2011-06-20,Summer,2011,June,0,1,Cloudy,26.035,29.767300000000002,74.625,699,3311,4010,Monday
172,2011-06-21,Fall,2011,June,0,1,Cloudy,27.914153000000002,31.8823,77.0417,774,4061,4835,Tuesday
173,2011-06-22,Fall,2011,June,0,1,Clear,30.066653000000002,34.69145,70.75,661,3846,4507,Wednesday
174,2011-06-23,Fall,2011,June,0,1,Cloudy,29.861653,34.69165,70.3333,746,4044,4790,Thursday
175,2011-06-24,Fall,2011,June,0,1,Clear,29.690847,32.82915,57.3333,969,4022,4991,Friday
176,2011-06-25,Fall,2011,June,0,0,Clear,28.494999999999997,32.16565,48.3333,1782,3420,5202,Saturday
177,2011-06-26,Fall,2011,June,0,0,Clear,27.880000000000003,31.88145,51.3333,1920,3385,5305,Sunday
178,2011-06-27,Fall,2011,June,0,1,Cloudy,27.982499999999998,31.8502,65.8333,854,3854,4708,Monday
179,2011-06-28,Fall,2011,June,0,1,Clear,30.510847000000002,34.6279,63.416700000000006,732,3916,4648,Tuesday
180,2011-06-29,Fall,2011,June,0,1,Clear,29.861653,32.7344,49.7917,848,4377,5225,Wednesday
181,2011-06-30,Fall,2011,June,0,1,Clear,28.563347,31.8504,43.416700000000006,1027,4488,5515,Thursday
182,2011-07-01,Fall,2011,July,0,1,Clear,29.622500000000002,32.6081,39.625,1246,4116,5362,Friday
183,2011-07-02,Fall,2011,July,0,0,Clear,30.271653,33.3654,44.4583,2204,2915,5119,Saturday
184,2011-07-03,Fall,2011,July,0,0,Cloudy,29.383347,33.42875,68.25,2282,2367,4649,Sunday
185,2011-07-04,Fall,2011,July,1,0,Cloudy,29.793346999999997,33.27085,63.7917,3065,2978,6043,Monday
186,2011-07-05,Fall,2011,July,0,1,Clear,30.613346999999997,34.816900000000004,59.0417,1031,3634,4665,Tuesday
187,2011-07-06,Fall,2011,July,0,1,Clear,29.52,34.28165,74.33330000000001,784,3845,4629,Wednesday
188,2011-07-07,Fall,2011,July,0,1,Clear,30.75,34.34355,65.125,754,3838,4592,Thursday
189,2011-07-08,Fall,2011,July,0,1,Cloudy,29.075847,33.524150000000006,75.79169999999999,692,3348,4040,Friday
190,2011-07-09,Fall,2011,July,0,0,Clear,30.066653000000002,33.2079,60.9167,1988,3348,5336,Saturday
191,2011-07-10,Fall,2011,July,0,0,Clear,30.6475,34.50125,57.8333,1743,3138,4881,Sunday
192,2011-07-11,Fall,2011,July,0,1,Clear,31.2625,36.4902,63.5833,723,3363,4086,Monday
193,2011-07-12,Fall,2011,July,0,1,Clear,32.560846999999995,36.96375,55.9167,662,3596,4258,Tuesday
194,2011-07-13,Fall,2011,July,0,1,Clear,30.613346999999997,34.4702,63.1667,748,3594,4342,Wednesday
195,2011-07-14,Fall,2011,July,0,1,Clear,27.914153000000002,31.7552,47.625,888,4196,5084,Thursday
196,2011-07-15,Fall,2011,July,0,1,Clear,27.196652999999998,31.21855,59.12500000000001,1318,4220,5538,Friday
197,2011-07-16,Fall,2011,July,0,0,Clear,28.153347,31.91315,58.5,2418,3505,5923,Saturday
198,2011-07-17,Fall,2011,July,0,0,Clear,29.485847,33.49165,60.4167,2006,3296,5302,Sunday
199,2011-07-18,Fall,2011,July,0,1,Clear,30.613346999999997,35.19625,65.125,841,3617,4458,Monday
200,2011-07-19,Fall,2011,July,0,1,Clear,31.843347,37.37395,65.0417,752,3789,4541,Tuesday
201,2011-07-20,Fall,2011,July,0,1,Clear,31.501653,37.3425,70.70830000000001,644,3688,4332,Wednesday
202,2011-07-21,Fall,2011,July,0,1,Cloudy,33.415,41.31855,69.125,632,3152,3784,Thursday
203,2011-07-22,Fall,2011,July,0,1,Clear,34.781653,42.0448,58.0417,562,2825,3387,Friday
204,2011-07-23,Fall,2011,July,0,0,Clear,34.815847,40.214349999999996,50.0,987,2298,3285,Saturday
205,2011-07-24,Fall,2011,July,0,0,Clear,34.03,39.74145,55.0833,1050,2556,3606,Sunday
206,2011-07-25,Fall,2011,July,0,1,Clear,30.476653000000002,36.0479,75.7083,568,3272,3840,Monday
207,2011-07-26,Fall,2011,July,0,1,Clear,31.638347,34.84895,54.0833,750,3840,4590,Tuesday
208,2011-07-27,Fall,2011,July,0,1,Clear,31.775000000000002,34.53335,40.291700000000006,755,3901,4656,Wednesday
209,2011-07-28,Fall,2011,July,0,1,Clear,31.945847,36.995,58.3333,606,3784,4390,Thursday
210,2011-07-29,Fall,2011,July,0,1,Clear,34.371653,39.29835,54.25,670,3176,3846,Friday
211,2011-07-30,Fall,2011,July,0,0,Clear,32.970847,36.42685,46.5833,1559,2916,4475,Saturday
212,2011-07-31,Fall,2011,July,0,0,Clear,33.039153,36.4898,48.0833,1524,2778,4302,Sunday
213,2011-08-01,Fall,2011,August,0,1,Clear,31.638347,35.1646,55.0833,729,3537,4266,Monday
214,2011-08-02,Fall,2011,August,0,1,Clear,32.116653,35.35355,49.125,801,4044,4845,Tuesday
215,2011-08-03,Fall,2011,August,0,1,Cloudy,29.998347,33.99685,65.75,467,3107,3574,Wednesday
216,2011-08-04,Fall,2011,August,0,1,Cloudy,29.11,33.2394,75.75,799,3777,4576,Thursday
217,2011-08-05,Fall,2011,August,0,1,Clear,29.144153000000003,32.82835,63.083299999999994,1023,3843,4866,Friday
218,2011-08-06,Fall,2011,August,0,0,Cloudy,29.383347,33.807700000000004,75.5,1521,2773,4294,Saturday
219,2011-08-07,Fall,2011,August,0,0,Clear,30.442500000000003,35.7646,75.29169999999999,1298,2487,3785,Sunday
220,2011-08-08,Fall,2011,August,0,1,Clear,31.365000000000002,35.16415,59.2083,846,3480,4326,Monday
221,2011-08-09,Fall,2011,August,0,1,Clear,31.775000000000002,36.20605,57.04169999999999,907,3695,4602,Tuesday
222,2011-08-10,Fall,2011,August,0,1,Clear,31.433346999999998,34.24915,42.4167,884,3896,4780,Wednesday
223,2011-08-11,Fall,2011,August,0,1,Clear,29.4175,32.57605,42.375,812,3980,4792,Thursday
224,2011-08-12,Fall,2011,August,0,1,Clear,29.041653,32.7021,41.5,1051,3854,4905,Friday
225,2011-08-13,Fall,2011,August,0,0,Cloudy,28.119153,32.2929,72.9583,1504,2646,4150,Saturday
226,2011-08-14,Fall,2011,August,0,0,Cloudy,27.743347,31.219400000000004,81.75,1338,2482,3820,Sunday
227,2011-08-15,Fall,2011,August,0,1,Clear,27.299153,30.80835,71.20830000000001,775,3563,4338,Monday
228,2011-08-16,Fall,2011,August,0,1,Clear,28.734153000000003,32.29185,57.8333,721,4004,4725,Tuesday
229,2011-08-17,Fall,2011,August,0,1,Clear,29.656653,33.33355,57.5417,668,4026,4694,Wednesday
230,2011-08-18,Fall,2011,August,0,1,Clear,29.178347000000002,33.1129,65.45830000000001,639,3166,3805,Thursday
231,2011-08-19,Fall,2011,August,0,1,Cloudy,28.085,31.661050000000003,72.2917,797,3356,4153,Friday
232,2011-08-20,Fall,2011,August,0,0,Clear,28.5975,32.4498,67.41669999999999,1914,3277,5191,Saturday
233,2011-08-21,Fall,2011,August,0,0,Clear,29.144153000000003,33.776250000000005,77.0,1249,2624,3873,Sunday
234,2011-08-22,Fall,2011,August,0,1,Clear,28.358347000000002,31.9127,47.0,833,3925,4758,Monday
235,2011-08-23,Fall,2011,August,0,1,Clear,26.274153,30.303350000000002,45.5417,1281,4614,5895,Tuesday
236,2011-08-24,Fall,2011,August,0,1,Clear,27.606652999999998,31.5346,60.5,949,4181,5130,Wednesday
237,2011-08-25,Fall,2011,August,0,1,Cloudy,28.050846999999997,32.2927,77.1667,435,3107,3542,Thursday
238,2011-08-26,Fall,2011,August,0,1,Clear,28.7,32.98665,76.125,768,3893,4661,Friday
239,2011-08-27,Fall,2011,August,0,0,Cloudy,27.880000000000003,31.7778,85.0,226,889,1115,Saturday
240,2011-08-28,Fall,2011,August,0,0,Clear,28.989418999999998,32.397949999999994,56.1765,1415,2919,4334,Sunday
241,2011-08-29,Fall,2011,August,0,1,Clear,26.103347,30.3979,55.45830000000001,729,3905,4634,Monday
242,2011-08-30,Fall,2011,August,0,1,Clear,26.205847000000002,29.7352,54.833299999999994,775,4429,5204,Tuesday
243,2011-08-31,Fall,2011,August,0,1,Clear,26.923347,30.556050000000003,59.791700000000006,688,4370,5058,Wednesday
244,2011-09-01,Fall,2011,September,0,1,Clear,26.855,30.746050000000004,63.916700000000006,783,4332,5115,Thursday
